[0.01, 0.0476921],
[0.02, 0.0459561],
[0.03, 0.0441524],
[0.04, 0.0422837],
[0.05, 0.0403526],
[0.06, 0.0383621],
[0.07, 0.036315],
[0.08, 0.0342143],
[0.09, 0.0320632],
[0.1, 0.0298648],
[0.11, 0.0276223],
[0.12, 0.0253391],
[0.13, 0.0230184],
[0.14, 0.0206638],
[0.15, 0.0182786],
[0.16, 0.0158665],
[0.17, 0.0134309],
[0.18, 0.0109755],
[0.19, 0.00850388],
[0.2, 0.00601968],
[0.21, 0.00352659],
[0.22, 0.00102829],
[0.23, -0.00147153],
[0.24, -0.00396917],
[0.25, -0.00646095],
[0.26, -0.00894318],
[0.27, -0.0114122],
[0.28, -0.0138644],
[0.29, -0.0162961],
[0.3, -0.0187037],
[0.31, -0.0210837],
[0.32, -0.0234325],
[0.33, -0.0257468],
[0.34, -0.028023],
[0.35, -0.030258],
[0.36, -0.0324482],
[0.37, -0.0345906],
[0.38, -0.036682],
[0.39, -0.0387192],
[0.4, -0.0406994],
[0.41, -0.0426197],
[0.42, -0.0444771],
[0.43, -0.0462689],
[0.44, -0.0479927],
[0.45, -0.0496457],
[0.46, -0.0512257],
[0.47, -0.0527303],
[0.48, -0.0541573],
[0.49, -0.0555047],
[0.5, -0.0567704],
[0.51, -0.0579526],
[0.52, -0.0590496],
[0.53, -0.0600598],
[0.54, -0.0609818],
[0.55, -0.0618141],
[0.56, -0.0625557],
[0.57, -0.0632053],
[0.58, -0.0637622],
[0.59, -0.0642253],
[0.6, -0.0645942],
[0.61, -0.0648682],
[0.62, -0.065047],
[0.63, -0.0651303],
[0.64, -0.0651179],
[0.65, -0.06501],
[0.66, -0.0648066],
[0.67, -0.064508],
[0.68, -0.0641147],
[0.69, -0.0636273],
[0.7, -0.0630464],
[0.71, -0.0623729],
[0.72, -0.0616078],
[0.73, -0.0607522],
[0.74, -0.0598073],
[0.75, -0.0587745],
[0.76, -0.0576553],
[0.77, -0.0564514],
[0.78, -0.0551644],
[0.79, -0.0537963],
[0.8, -0.0523491],
[0.81, -0.0508248],
[0.82, -0.0492257],
[0.83, -0.0475542],
[0.84, -0.0458126],
[0.85, -0.0440035],
[0.86, -0.0421296],
[0.87, -0.0401936],
[0.88, -0.0381984],
[0.89, -0.0361469],
[0.9, -0.034042],
[0.91, -0.031887],
[0.92, -0.0296849],
[0.93, -0.027439],
[0.94, -0.0251526],
[0.95, -0.0228291],
[0.96, -0.0204718],
[0.97, -0.0180844],
[0.98, -0.0156702],
[0.99, -0.0132329],
[1, -0.010776],
[1.01, -0.00830321],
[1.02, -0.00581816],
[1.03, -0.00332451],
[1.04, -0.000825954],
[1.05, 0.00167383],
[1.06, 0.00417113],
[1.07, 0.00666228],
[1.08, 0.00914358],
[1.09, 0.0116114],
[1.1, 0.014062],
[1.11, 0.0164919],
[1.12, 0.0188974],
[1.13, 0.021275],
[1.14, 0.0236212],
[1.15, 0.0259325],
[1.16, 0.0282055],
[1.17, 0.0304369],
[1.18, 0.0326234],
[1.19, 0.0347618],
[1.2, 0.0368489],
[1.21, 0.0388817],
[1.22, 0.0408571],
[1.23, 0.0427724],
[1.24, 0.0446246],
[1.25, 0.046411],
[1.26, 0.0481291],
[1.27, 0.0497764],
[1.28, 0.0513504],
[1.29, 0.0528487],
[1.3, 0.0542694],
[1.31, 0.0556102],
[1.32, 0.0568692],
[1.33, 0.0580446],
[1.34, 0.0591346],
[1.35, 0.0601378],
[1.36, 0.0610525],
[1.37, 0.0618776],
[1.38, 0.0626117],
[1.39, 0.0632539],
[1.4, 0.0638031],
[1.41, 0.0642587],
[1.42, 0.0646199],
[1.43, 0.0648863],
[1.44, 0.0650573],
[1.45, 0.0651328],
[1.46, 0.0651128],
[1.47, 0.0649971],
[1.48, 0.0647859],
[1.49, 0.0644797],
[1.5, 0.0640788],
[1.51, 0.0635837],
[1.52, 0.0629953],
[1.53, 0.0623144],
[1.54, 0.0615419],
[1.55, 0.060679],
[1.56, 0.059727],
[1.57, 0.0586871],
[1.58, 0.057561],
[1.59, 0.0563503],
[1.6, 0.0550567],
[1.61, 0.0536821],
[1.62, 0.0522285],
[1.63, 0.0506981],
[1.64, 0.0490931],
[1.65, 0.0474158],
[1.66, 0.0456686],
[1.67, 0.0438542],
[1.68, 0.0419752],
[1.69, 0.0400343],
[1.7, 0.0380344],
[1.71, 0.0359785],
[1.72, 0.0338694],
[1.73, 0.0317104],
[1.74, 0.0295047],
[1.75, 0.0272554],
[1.76, 0.0249658],
[1.77, 0.0226395],
[1.78, 0.0202796],
[1.79, 0.0178899],
[1.8, 0.0154737],
[1.81, 0.0130347],
[1.82, 0.0105764],
[1.83, 0.00810247],
[1.84, 0.00561658],
[1.85, 0.0031224],
[1.86, 0.000623606],
[1.87, -0.00187611],
[1.88, -0.00437306],
[1.89, -0.00686354],
[1.9, -0.00934388],
[1.91, -0.0118104],
[1.92, -0.0142595],
[1.93, -0.0166875],
[1.94, -0.0190909],
[1.95, -0.0214661],
[1.96, -0.0238096],
[1.97, -0.026118],
[1.98, -0.0283877],
[1.99, -0.0306156],
[2.01, 0.0476921],
[2.02, 0.0459561],
